protein	classRDB	TRs	anno	len	domain
4l1m_A	none	7	none	358	[PDP:3KCIAa]
4cb9_A	none	3	none	482	[PDP:4CB8Aa, PDP:4CB8Ab, PDP:4CB8Ac, PDP:4CB8Ad]
3v3w_A	IV.1	3	none	397	[PDP:4K8GAa]
4hjj_H	none	3	none	341	[PDP:4HJJHa, PDP:4HJJHb, PDP:4HJJHc]
3o47_A	none	3	none	289	[PDP:3O47Aa, PDP:3O47Ab]
2f73_A	none	3	none	135	[d2f73a1]
3gw3_A	none	3	none	357	[d1r3sa_]
1r03_A	none	3	none	171	[PDP:4LQHAa]
4l75_A	none	3	none	229	[PDP:2AEFAa, PDP:2AEFAb]
2z8r_A	none	3	none	583	[PDP:2ZUXAa, PDP:2ZUXAb]
4imm_A	none	7	none	331	[PDP:4IMMAa]
1bjm_A	none	3	none	215	[PDP:4NZULa, PDP:4NZULb]
4i4x_A	IV.3	3	none	146	[PDP:4I4OAa]
2ly8_A	none	3	none	121	[PDP:2LY8Aa, PDP:2LY8Ab]
1vlk_A	none	3	none	142	[d1ilka_]
1zvq_A	none	3	none	166	[PDP:2CE2Xa]
3sjn_A	IV.1	3	none	373	[PDP:3SJNAa, PDP:3SJNAb, PDP:3SJNAc]
4jra_C	none	3	none	83	[PDP:4JRACa]
1o5q_A	none	3	none	271	[PDP:1XG4Aa]
3zlb_A	none	3	none	398	[PDP:2WZBAa, PDP:2WZBAb]
2zhi_A	none	4	none	315	[PDP:2ZHJAa, PDP:2ZHJAb]
4oau_C	none	4	none	692	[PDP:4OAVBa, PDP:4OAVBb, PDP:4OAVBc, PDP:4OAVBd]
4c0o_A	none	4	none	901	[PDP:4C0OAa, PDP:4C0OAb, PDP:4C0OAc, PDP:4C0OAd]
1m5w_A	none	3	none	242	[PDP:3O6CAa]
3t92_A	none	3	none	113	[PDP:3T92A_]
1usg_A	none	3	none	345	[PDP:3IPCAa, PDP:3IPCAb]
2qnl_A	none	3	none	162	[PDP:2QNLAa]
4efl_A	none	3	none	166	[PDP:2CE2Xa]
1inr_A	none	3	none	132	[d1ilka_]
1k24_A	none	3	CL1;C2C;	249	[d2vdfa1]
4fmb_B	none	3	none	171	[PDP:2CE2Xa]
3szu_A	none	4	none	309	[PDP:4H4DAa, PDP:4H4DAb]
4mm4_A	none	3	none	497	[d2a65a1]
1ofk_A	none	3	none	154	[PDP:3QM9Aa]
2v9u_A	none	3	none	132	[PDP:2V9UAa]
1zaa_C	none	3	none	85	[d1a1ia1, d1a1ia2, d1a1ia3]
2lci_A	none	4	none	134	[PDP:2LRHAa]
4ja7_A	none	3	none	466	[PDP:4JA7Aa, PDP:4JA7Ab]
2m63_A	none	3	none	157	[PDP:4BSXAa]
3zfz_A	none	3	none	635	[d1vqqa1, d1vqqa2, d1vqqa3]
1s0h_A	none	3	none	141	[PDP:2W72Aa]
3og3_A	IV.1	3	none	242	[PDP:3TDNAa]
3qb7_C	none	3	none	191	[PDP:4GS7Ca, PDP:4GS7Cb]
2fb2_A	none	3	none	327	[PDP:2FB2Aa]
4naq_A	none	4	none	901	[PDP:4FKEAa, PDP:4FKEAb, PDP:4FKEAc, PDP:4FKEAd]
1n42_A	none	3	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
1h5v_A	none	3	none	301	[d7a3ha_]
2a73_B	none	3	none	976	[PDP:2HR0Ba, PDP:2HR0Bb, PDP:2HR0Bc, PDP:2HR0Bd, PDP:2HR0Be, PDP:2HR0Bf]
4ofp_A	none	3	none	197	[PDP:4OFPAa, PDP:4OFPAb]
1oxz_A	none	3	CL4;	132	[d1oxza_]
2hup_A	none	3	none	162	[PDP:2CE2Xa]
4m29_A	none	3	none	443	[PDP:4M29Aa, PDP:4M29Ab]
1yx3_A	none	3	none	112	[PDP:1YX3Aa]
3lcf_A	IV.1	3	none	293	[PDP:2WKJAa]
2whj_A	none	4	none	308	[PDP:4FK9Aa]
4hh1_A	none	3	none	383	[PDP:4HH0Aa, PDP:4HH0Ab, PDP:4HH0Ac, PDP:4HH0Ad]
3r9m_A	none	4	none	376	[PDP:3R9MAa, PDP:3R9MAb]
4n27_A	III.1	4	none	175	[PDP:4N27Aa]
4knf_A	none	3	none	231	[PDP:4JQ6Aa]
2k9m_A	none	3	none	130	[PDP:2K9MAa]
4hll_A	III.3	4	none	154	[PDP:4DUIAa]
1mra_A	IV.1	3	none	357	[PDP:4FP1Aa, PDP:4FP1Ab, PDP:4FP1Ac]
2q6z_A	none	3	none	356	[d1r3sa_]
2kwi_A	none	3	none	178	[PDP:2CE2Xa]
3zgl_A	none	4	none	309	[PDP:4H4DAa, PDP:4H4DAb]
2x3m_A	none	3	none	166	[PDP:2X3MAa]
1a1i_A	none	3	none	85	[d1a1ia1, d1a1ia2, d1a1ia3]
3s8f_A	none	3	none	554	[PDP:3S8GAa]
1tzt_A	none	3	none	141	[d1tzva_]
3dfq_A	none	4	none	350	[d2qapa1]
1qrn_E	none	3	none	243	[PDP:2NW2Ba, PDP:2NW2Bb]
1tvn_A	none	3	none	293	[d7a3ha_]
4k3b_A	none	4	none	771	[PDP:4K3BAa, PDP:4K3BAb, PDP:4K3BAc, PDP:4K3BAd, PDP:4K3BAe, PDP:4K3BAf]
1bc1_A	none	4	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
2e9s_A	none	3	none	164	[PDP:2CE2Xa]
1vs6_Z	none	4	none	70	[]
1pmt_A	none	3	none	201	[PDP:4GCIAa, PDP:4GCIAb]
3bbo_R	none	6	none	113	[PDP:3BBORa]
2xgj_A	none	3	none	964	[PDP:2XGJAa, PDP:2XGJAb, PDP:2XGJAc, PDP:2XGJAd, PDP:2XGJAe, PDP:2XGJAf, PDP:2XGJAg]
1svp_A	none	3	none	160	[PDP:4AGKAa]
3c1d_A	none	3	none	143	[PDP:3C1DAa, PDP:3C1DAb]
3jwd_H	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
4abn_A	none	3	none	422	[PDP:4ABNAa, PDP:4ABNAb, PDP:4ABNAc]
4o9d_B	none	3	none	392	[PDP:4O9DAa]
1npl_A	none	3	none	109	[PDP:2DPFAa]
1xgq_B	none	3	none	210	[PDP:4NZULa, PDP:4NZULb]
4lgn_A	none	4	none	739	[PDP:4LGNAa, PDP:4LGNAb]
3d9a_H	none	3	none	210	[PDP:4NZULa, PDP:4NZULb]
1ab0_A	none	4	none	131	[PDP:4BVMAa]
2p3j_A	none	4	none	161	[d1kqra_]
4jdo_A	none	3	none	215	[PDP:4JDOAa]
2e2y_A	none	3	none	154	[PDP:3QM9Aa]
3qwt_A	none	3	none	378	[PDP:3PMMAa]
4f06_A	none	3	none	368	[PDP:4F06Aa, PDP:4F06Ab]
1kfu_S	none	3	none	184	[]
1cpq_A	none	3	none	129	[PDP:2YKZAa]
1d7k_A	none	4	none	411	[d7odca1, d7odca2]
3zpj_A	none	4	none	356	[PDP:3ZPJAa, PDP:3ZPJAb, PDP:3ZPJAc]
3to5_A	none	3	none	124	[d1jbea_]
4aqr_A	none	4	none	145	[d1exra_]
1hrm_A	none	3	none	153	[PDP:3QM9Aa]
4bs2_A	none	3	none	174	[PDP:4BS2Aa, PDP:4BS2Ab]
2jxy_A	IV.4	3	none	194	[d1pexa_]
4ma3_H	none	3	none	215	[PDP:4NZULa, PDP:4NZULb]
4gnt_A	none	3	none	231	[PDP:3IQUAa, PDP:3IQUAb, PDP:3IQUAc]
3k07_A	none	3	none	1025	[PDP:3NE5Aa, PDP:3NE5Ab, PDP:3NE5Ac, PDP:3NE5Ad, PDP:3NE5Ae, PDP:3NE5Af, PDP:3NE5Ag]
2w9d_H	none	3	none	215	[PDP:4NZULa, PDP:4NZULb]
4is7_A	none	3	none	140	[PDP:4IS7Aa, PDP:4IS7Ab]
3hv2_A	none	3	none	136	[PDP:3HV2Aa]
2rkx_A	IV.1	3	none	250	[PDP:3TDNAa]
4dyx_A	none	3	none	172	[PDP:4LQHAa]
1i81_A	none	3	none	74	[d1mgqa_]
2xlq_A	none	5	none	316	[PDP:2XM5Aa]
2oev_A	none	3	CL4;	697	[PDP:2XS1Aa, PDP:2XS1Ab, PDP:2XS1Ac, PDP:2XS1Ad]
2a0n_A	IV.1	3	none	251	[PDP:3TDNAa]
4fnv_A	none	3	none	659	[PDP:4FNVAa, PDP:4FNVAb, PDP:4FNVAc]
2yoc_A	none	3	none	1051	[d2fhfa1, d2fhfa2, d2fhfa3, d2fhfa4, d2fhfa5]
3kbr_A	none	3	none	231	[PDP:3KBRAa, PDP:3KBRAb]
2tmg_A	none	3	none	408	[d1gtma1, d1gtma2]
1r1x_A	none	3	none	141	[PDP:2W72Aa]
1fvd_B	none	3	none	223	[PDP:4NZULa, PDP:4NZULb]
4af0_B	none	3	none	395	[PDP:3ZFHAa]
4af0_A	none	3	none	395	[PDP:3ZFHAa]
4kvg_A	none	3	none	165	[PDP:2CE2Xa]
3iip_A	IV.1	3	none	249	[PDP:3TDNAa]
4pq8_A	III.1	6	none	241	[PDP:4PQ8Aa]
4ihf_A	none	6	none	336	[PDP:3PMOAa, PDP:3PMOAb]
1bih_A	none	3	C2C;	391	[d1biha1, d1biha2, d1biha3, d1biha4]
1a0f_A	none	3	none	201	[PDP:4GCIAa, PDP:4GCIAb]
4jwl_A	none	3	none	194	[PDP:4JXHAa, PDP:4JXHAb]
1mrc_L	none	3	none	216	[PDP:4NZULa, PDP:4NZULb]
2i2s_A	none	3	none	163	[d1kqra_]
4ney_A	none	4	none	172	[PDP:4HHUAa, PDP:4HHUAb]
3q41_A	none	3	none	371	[PDP:3QEKAa, PDP:3QEKAb]
4aui_A	none	4	none	308	[PDP:3VY8Xa]
4kh3_A	none	7	none	492	[PDP:4KH3Aa, PDP:4KH3Ab]
3j60_g	IV.4	4	none	380	[PDP:2PBIBa]
4g7r_A	none	3	none	551	[PDP:3S8GAa]
4hr6_C	none	3	none	264	[PDP:3C9ZAa, PDP:3C9ZAb]
4moz_A	IV.1	3	none	316	[PDP:4MOZAa]
1lf1_A	none	3	none	296	[d7a3ha_]
3jva_A	IV.1	3	none	353	[PDP:3JVAAa]
1wue_A	IV.1	4	none	370	[d1r0ma1, d1r0ma2]
8prn_A	none	4	none	289	[d3prna_]
1hv1_A	none	3	none	185	[PDP:3AKSAa]
3t0g_A	none	4	none	309	[PDP:4H4DAa, PDP:4H4DAb]
1n44_A	none	3	none	318	[PDP:2ZHJAa, PDP:2ZHJAb]
3i5q_B	none	3	none	248	[PDP:3I5QAa, PDP:3I5QAb]
1ei3_A	none	4	none	159	[d1m1ja_]
3nzp_A	none	3	none	583	[PDP:3NZPAa, PDP:3NZPAb, PDP:3NZPAc, PDP:3NZPAd]
3vzq_A	none	3	none	244	[d1zk4a1]
3a9e_A	none	3	none	218	[PDP:3CJWAa]
1kz1_A	none	3	none	150	[PDP:2C92Aa]
2pln_A	none	3	none	118	[PDP:2PLNAa]
3bik_A	none	3	none	212	[PDP:3SBWCa, PDP:3SBWCb]
3mfc_A	none	3	none	187	[PDP:3AKSAa]
1zbd_A	none	3	none	177	[PDP:2CE2Xa]
4iqd_A	none	5	none	290	[PDP:1XG4Aa]
3vge_A	none	3	none	555	[PDP:3VGDAa, PDP:3VGDAb, PDP:3VGDAc, PDP:3VGDAd, PDP:3VGDAe]
3esu_F	none	3	none	222	[PDP:4P48Aa, PDP:4P48Ab]
2rhd_A	none	3	none	164	[PDP:2CE2Xa]
2p15_A	none	3	none	242	[PDP:3OLLAa]
3eoo_A	none	3	none	290	[PDP:1XG4Aa]
4mna_A	none	5	none	639	[PDP:4MNAAa, PDP:4MNAAb]
2ekg_A	none	3	none	288	[PDP:4H6QAa]
3d3b_A	none	3	none	139	[PDP:3D3BAa]
3s9j_A	none	3	none	362	[PDP:3S9JAa, PDP:3S9JAb]
1us3_A	none	3	none	482	[d1us3a1, d1us3a2]
2r4i_A	none	3	none	123	[d2r4ia1]
1hve_A	none	4	none	312	[PDP:2ZHJAa, PDP:2ZHJAb]
4fqe_A	none	3	none	170	[PDP:4FQEAa]
2lzn_A	none	4	none	143	[PDP:2LZNAa, PDP:2LZNAb]
1akd_A	none	3	none	405	[PDP:2ZWUAa, PDP:2ZWUAb]
1cnt_1	none	3	none	150	[d1cnt1_]
1ibe_A	none	3	none	141	[PDP:2W72Aa]
3w5k_B	none	3	none	110	[PDP:3W5KBa]
4m9c_A	none	4	none	216	[PDP:4M9CAa, PDP:4M9CAb]
1y7b_A	none	3	none	534	[PDP:3C2UAa, PDP:3C2UAb]
2c5l_A	none	3	none	166	[PDP:2CE2Xa]
2wvp_A	none	3	none	262	[PDP:2X9KAa]
2y8p_A	none	3	none	190	[PDP:4HJZAa, PDP:4HJZAb]
3lcg_A	IV.1	3	none	293	[PDP:2WKJAa]
4bke_A	none	6	none	582	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
3oan_A	none	3	none	116	[PDP:3OANAa]
4hr1_B	none	3	none	119	[PDP:4HR1Aa]
3pig_A	none	3	none	523	[PDP:3PIJAa, PDP:3PIJAb]
1ttx_A	none	3	none	109	[d2pvba_]
3tsm_A	IV.1	3	none	261	[PDP:3TSMAa]
2zbl_A	none	4	none	416	[PDP:2ZBLAa]
3ucc_A	none	3	none	433	[d2akza1, d2akza2]
4om9_A	none	3	none	930	[PDP:4OM9Aa, PDP:4OM9Ab, PDP:4OM9Ac, PDP:4OM9Ad, PDP:4OM9Ae]
1lfd_B	none	3	none	167	[PDP:2CE2Xa]
3slt_A	none	6	none	305	[PDP:3AEHAa]
3nyd_A	none	3	none	303	[d1i1wa_]
3lcw_A	IV.1	3	none	291	[PDP:2WKJAa]
1f5z_A	IV.1	3	none	293	[d1f74a_]
2re1_A	none	3	none	148	[PDP:2DTJAa, PDP:2DTJAb]
3dvu_A	none	3	none	130	[PDP:4MI8Aa]
1g2d_C	none	3	none	89	[d1a1ia1, d1a1ia2, d1a1ia3]
3ddj_A	none	3	none	279	[d3ddja1, d3ddja2]
2oew_A	none	3	none	358	[PDP:3C3RAa, PDP:3C3RAb]
2og9_A	IV.1	3	none	363	[PDP:2OG9Aa, PDP:2OG9Ab]
3t8v_A	none	3	none	889	[PDP:3EBHAa, PDP:3EBHAb]
3cvx_A	none	3	none	502	[PDP:4MLPAa, PDP:4MLPAb, PDP:4MLPAc]
4bv4_R	none	7	none	440	[PDP:4BV4Ra]
3lmw_A	III.1	3	none	472	[d1h80a_]
3mbd_A	none	3	none	336	[d2qapa1]
2yda_A	IV.1	3	none	292	[d1w3ia_]
1kz4_A	none	3	none	147	[PDP:2C92Aa]
3ewd_A	none	3	none	364	[PDP:2PGFAa]
3uyu_A	none	4	none	231	[PDP:3VN3Aa]
2i07_B	none	3	none	901	[PDP:2HR0Ba, PDP:2HR0Bb, PDP:2HR0Bc, PDP:2HR0Bd, PDP:2HR0Be, PDP:2HR0Bf]
1lsg_A	none	3	none	144	[d2vb1a1]
2w6r_A	IV.1	3	none	223	[PDP:3TDNAa]
1j7s_A	none	3	none	141	[PDP:2W72Aa]
4jhn_A	none	7	none	361	[PDP:4JHNAa]
3zi1_A	none	4	none	274	[PDP:3ZI1Aa, PDP:3ZI1Ab]
4jvs_B	none	3	none	170	[PDP:2CE2Xa]
4jhp_C	none	5	none	362	[PDP:4JHNAa]
4oj5_A	none	4	none	758	[PDP:4OJ5Aa, PDP:4OJ5Ab, PDP:4OJ5Ac, PDP:4OJ5Ad]
4jj2_A	none	6	none	92	[PDP:4KU0Aa]
2o08_A	none	3	none	187	[PDP:3CCGAa]
1w1o_A	none	3	none	479	[PDP:2Q4WAa, PDP:2Q4WAb, PDP:2Q4WAc, PDP:2Q4WAd]
3r4v_A	none	3	none	311	[PDP:3R4VAa, PDP:3R4VAb]
1hxg_A	none	3	none	534	[PDP:4GAXAa, PDP:4GAXAb]
1inf_A	none	3	none	390	[d1nsca_]
1hm6_A	none	3	none	343	[PDP:2ZHJAa, PDP:2ZHJAb]
2v5s_A	none	3	none	388	[PDP:2V5MAa, PDP:2V5MAb, PDP:2V5MAc, PDP:2V5MAd]
2xsx_A	none	3	none	434	[d2akza1, d2akza2]
3p3y_A	none	3	C2C;	390	[PDP:3P3YAa, PDP:3P3YAb, PDP:3P3YAc, PDP:3P3YAd]
1t13_A	none	3	none	150	[d1di0a_]
1uyn_X	none	6	CL1;C2C;	279	[d1uynx_]
1c1y_A	none	3	none	167	[PDP:2CE2Xa]
4l1j_A	none	3	none	188	[PDP:4L1JAa, PDP:4L1JAb]
3m72_A	none	3	none	306	[PDP:3M73Aa]
4eqv_A	none	3	none	509	[PDP:3KF3Aa, PDP:3KF3Ab]
1cn4_A	none	3	none	217	[d1eerb1, d1eerb2]
4ai4_A	none	3	none	186	[PDP:2OFKAa, PDP:2OFKAb]
3kci_A	none	7	none	366	[PDP:3KCIAa]
3gwq_A	none	3	none	407	[PDP:3GWQAa, PDP:3GWQAb]
3g60_A	none	3	none	1182	[PDP:4M1MAa, PDP:4M1MAb, PDP:4M1MAc, PDP:4M1MAd]
4ixh_A	none	3	none	336	[PDP:2C6QAa]
2nua_A	none	3	none	287	[d1oi7a1, d1oi7a2]
4nu7_A	IV.1	4	none	225	[PDP:4NU7Aa]
2x27_X	none	3	none	209	[PDP:2X27Xa]
2hzg_A	IV.1	3	none	393	[PDP:2HZGAa, PDP:2HZGAb]
1t3f_B	none	4	none	219	[PDP:4NZULa, PDP:4NZULb]
1v2a_A	none	3	none	208	[PDP:3EINAa]
2adf_H	none	3	none	218	[PDP:4NZULa, PDP:4NZULb]
2apx_A	none	3	none	109	[d2aq2a1]
1lrw_A	none	6	none	600	[d1w6sa_]
4i4s_A	IV.3	3	none	146	[PDP:4I4OAa]
4n5l_A	none	3	none	244	[d1zk4a1]
3a2i_A	none	3	none	253	[PDP:3B0TAa]
1onk_B	none	6	none	263	[PDP:3C9ZAa, PDP:3C9ZAb]
2m3t_A	none	4	none	178	[d1h4ax1, d1h4ax2]
2wys_A	none	3	none	513	[PDP:2W5FAa, PDP:2W5FAb]
1in5_A	none	3	none	301	[d1in4a1, d1in4a2]
2qr6_A	none	3	none	371	[PDP:2QR6Aa]
3v6n_A	none	3	none	224	[PDP:3S18Aa]
2exi_A	none	3	none	533	[PDP:3C2UAa, PDP:3C2UAb]
1l8p_A	none	3	none	436	[d2akza1, d2akza2]
3tx6_A	none	4	none	360	[PDP:3UK0Aa, PDP:3UK0Ab]
1p43_A	none	3	none	436	[d2akza1, d2akza2]
3tc7_A	IV.1	3	none	251	[PDP:4A29Aa]
1qgi_A	none	3	none	259	[d1qgia_]
4mzu_A	none	3	none	285	[PDP:4MZUAa, PDP:4MZUAb]
4abx_A	none	3	none	167	[PDP:4ABXAa, PDP:4ABXAb]
4ihc_A	IV.1	3	none	396	[PDP:4K8GAa]
5prn_A	none	4	none	289	[d3prna_]
221p_A	none	3	none	166	[PDP:2CE2Xa]
2zvw_A	none	3	none	255	[d1u7ba1, d1u7ba2]
2if4_A	none	3	none	258	[PDP:2IF4Aa, PDP:2IF4Ab]
3n0v_A	none	3	none	280	[PDP:3LOUAa, PDP:3LOUAb, PDP:3LOUAc]
1tr2_A	none	6	none	1028	[PDP:1TR2Aa, PDP:1TR2Ab, PDP:1TR2Ac, PDP:1TR2Ad, PDP:1TR2Ae, PDP:1TR2Af, PDP:1TR2Ag, PDP:1TR2Ah]
2e2e_A	none	3	none	171	[PDP:2E2EAa, PDP:2E2EAb]
1xzv_A	none	3	none	141	[PDP:2W72Aa]
1aei_A	none	4	none	315	[PDP:2ZHJAa, PDP:2ZHJAb]
4hhe_A	none	3	none	297	[PDP:4P3XAa, PDP:4P3XAb]
4gf4_A	none	3	none	299	[PDP:4GEYAa]
3b0t_A	none	3	none	254	[PDP:3B0TAa]
1pnz_A	none	3	none	661	[d1kmoa_]
3hns_H	none	3	none	220	[PDP:4NZULa, PDP:4NZULb]
2rh7_A	IV.2	3	none	211	[PDP:3NEDAa]
1fga_A	IV.3	3	none	124	[d1rg8a_]
1l3k_A	none	3	none	163	[d1l3ka1, d1l3ka2]
1dti_A	none	3	none	154	[PDP:3QM9Aa]
4a8z_A	none	3	none	133	[PDP:4BVMAa]
1kz6_A	none	3	none	147	[PDP:2C92Aa]
1a1l_A	none	3	none	85	[d1a1ia1, d1a1ia2, d1a1ia3]
4ion_A	IV.3	3	none	140	[PDP:4IZXAa]
4k1n_A	none	3	CL4;	520	[PDP:4IGGAa, PDP:4IGGAb, PDP:4IGGAc, PDP:4IGGAd, PDP:4IGGAe, PDP:4IGGAf]
2al2_B	none	3	none	430	[d2akza1, d2akza2]
3bti_B	none	3	none	186	[PDP:3BQZAa, PDP:3BQZAb]
3s8g_A	none	3	none	554	[PDP:3S8GAa]
1urp_A	none	3	none	271	[PDP:2FN9Aa, PDP:2FN9Ab]
3hcs_A	none	3	none	157	[PDP:3HCSAa]
4c2l_A	III.1	4	none	372	[PDP:4C2LAa]
2al2_A	none	3	none	436	[d2akza1, d2akza2]
1a7e_A	none	3	none	118	[d2mhra_]
2jiw_A	none	3	none	590	[d2choa1, d2choa2, d2choa3]
2cbq_A	none	3	none	111	[d2mcma_]
3vcd_A	none	4	none	184	[PDP:3N79Aa, PDP:3N79Ab]
3ayr_A	none	3	none	366	[d1edga_]
4hkj_D	none	3	none	186	[PDP:4HKJDa]
2ppg_A	IV.1	3	none	387	[PDP:2NQLAa, PDP:2NQLAb, PDP:2NQLAc]
2w4a_B	none	3	none	150	[d1exra_]
1uj3_B	none	3	none	217	[PDP:4NZULa, PDP:4NZULb]
1tjf_A	none	3	none	185	[d1s0pa_]
4ld7_A	none	3	none	397	[PDP:4LD7Aa]
1aow_A	none	4	none	309	[PDP:2ZHJAa, PDP:2ZHJAb]
4nee_G	none	3	none	388	[PDP:4NEEAa, PDP:4NEEAb, PDP:4NEEAc, PDP:4NEEAd]
4lj0_A	none	3	none	65	[PDP:4LJ0Aa]
1n0s_A	none	3	none	173	[d1kxoa_]
3uin_C	none	3	none	156	[d2grrb1]
2bmd_A	none	3	none	173	[PDP:2CE2Xa]
2pye_E	none	3	none	242	[PDP:2NW2Ba, PDP:2NW2Bb]
1ch9_A	none	3	none	154	[PDP:3QM9Aa]
1x9f_A	none	3	none	147	[PDP:2ZS0Ca]
4msl_A	IV.4	6	none	654	[PDP:3F6KAa, PDP:3F6KAb, PDP:3F6KAc, PDP:3F6KAd, PDP:3F6KAe, PDP:3F6KAf, PDP:3F6KAg]
1dmo_A	none	4	none	148	[d1exra_]
1do1_A	none	3	none	153	[PDP:3QM9Aa]
1qff_A	IV.2	3	CL1;C2C;	707	[PDP:4CU4Aa]
2yug_A	IV.3	3	none	155	[PDP:2YUGAa]
3h5o_A	none	3	none	271	[PDP:3H5OAa, PDP:3H5OAb]
3dbi_A	none	3	none	278	[PDP:3DBIAa, PDP:3DBIAb]
4mn4_A	none	3	none	246	[PDP:1ZVTAa, PDP:1ZVTAb]
3a2g_A	none	3	none	154	[PDP:3QM9Aa]
3k5r_A	none	3	none	218	[PDP:3QRBAa, PDP:3QRBAb]
1in7_A	none	3	none	298	[d1in4a1, d1in4a2]
3c5h_A	none	3	none	232	[PDP:3C5HAa]
2nzj_A	none	3	none	155	[PDP:2CE2Xa]
3bkh_A	none	3	none	268	[PDP:3BKHAa, PDP:3BKHAb, PDP:3BKHAc]
1t47_A	none	3	none	362	[PDP:3ISQAa, PDP:3ISQAb, PDP:3ISQAc, PDP:3ISQAd]
3wj9_A	none	5	none	396	[PDP:3WJ9Aa, PDP:3WJ9Ab, PDP:3WJ9Ac, PDP:3WJ9Ad]
3vgg_A	none	3	none	554	[PDP:3VGDAa, PDP:3VGDAb, PDP:3VGDAc, PDP:3VGDAd, PDP:3VGDAe]
4l60_A	none	3	none	256	[d1u7ba1, d1u7ba2]
1kqw_A	none	3	none	134	[PDP:4BVMAa]
1szr_C	none	4	none	347	[d7odca1, d7odca2]
1dqg_A	IV.3	3	none	134	[d1dqga_]
3noe_A	IV.1	3	none	292	[PDP:3A5FAa]
4doh_B	none	3	none	193	[PDP:4DOHBa, PDP:4DOHBb]
1p4t_A	none	4	none	155	[d1p4ta_]
2qgy_A	IV.1	3	none	376	[PDP:2QGYAa]
3dw8_B	none	3	none	421	[PDP:3DW8Ba, PDP:3DW8Bb]
2qdd_A	IV.1	3	none	368	[PDP:2PS2Aa, PDP:2PS2Ab]
1i4a_A	none	3	none	309	[PDP:2ZHJAa, PDP:2ZHJAb]
1ebm_A	none	3	none	314	[PDP:2XHIAa, PDP:2XHIAb, PDP:2XHIAc]
1rt8_A	none	4	none	467	[d1rt8a_]
4l85_A	none	3	none	116	[PDP:2JBAAa]
3ez4_A	none	3	none	242	[d1m3ua_]
3klk_A	none	5	none	1006	[PDP:3KLKAa, PDP:3KLKAb, PDP:3KLKAc, PDP:3KLKAd, PDP:3KLKAe, PDP:3KLKAf, PDP:3KLKAg]
1ojx_A	IV.1	3	none	250	[d1w8sa1]
2xh4_A	none	3	none	437	[d2akza1, d2akza2]
6ald_A	none	3	none	343	[d2qapa1]
2fgc_A	none	3	none	161	[d2fgca1, d2fgca2]
1knw_A	none	3	none	421	[d1knwa1, d1knwa2]
4aip_A	none	4	none	662	[PDP:4B7OAa]
4ak2_A	none	3	none	286	[PDP:4AK2Aa, PDP:4AK2Ab]
4d9s_A	none	7	none	383	[PDP:4D9SAa]
1egz_A	none	3	none	291	[d7a3ha_]
3p8s_A	none	3	none	150	[PDP:4AK4Aa]
3vrl_C	none	3	none	73	[PDP:3NTEAa, PDP:3NTEAb]
3vdg_A	IV.1	3	none	424	[PDP:3VC5Aa]
1jmx_A	none	3	none	493	[d1pbya1, d1pbya2, d1pbya3, d1pbya4, d1pbya5]
4bfi_B	none	3	C2C;	202	[PDP:4BFIBa, PDP:4BFIBb]
4nkg_A	none	6	none	233	[PDP:4NKGAa]
3qrg_H	none	3	none	219	[PDP:4NZULa, PDP:4NZULb]
4ik1_A	none	4	none	391	[PDP:4IK8Aa, PDP:4IK8Ab, PDP:4IK8Ac]
4k17_A	none	4	none	660	[PDP:4K17Aa, PDP:4K17Ab, PDP:4K17Ac, PDP:4K17Ad, PDP:4K17Ae]
4k5n_A	none	3	none	889	[PDP:3EBHAa, PDP:3EBHAb]
4nbz_A	III.4	3	none	136	[PDP:4NBXAa, PDP:4NBXAb]
2rik_A	none	4	none	283	[PDP:2RIKAa, PDP:2RIKAb, PDP:2RIKAc]
4iwt_A	III.4	5	none	146	[PDP:4IWTAa, PDP:4IWTAb, PDP:4IWTAc]
3dnf_A	none	3	none	281	[PDP:3DNFAa, PDP:3DNFAb, PDP:3DNFAc]
3v09_A	none	3	none	583	[PDP:4L8UAa, PDP:4L8UAb, PDP:4L8UAc]
3u64_A	none	3	none	271	[PDP:3U64Aa]
1iwh_A	none	3	none	141	[PDP:2W72Aa]
2yr1_A	IV.1	3	none	257	[PDP:3O1NAa]
1bje_A	none	3	none	153	[PDP:3QM9Aa]
2we1_A	none	3	none	245	[d2bsya1, d2bsya2]
2fep_A	none	3	none	273	[PDP:2FEPAa, PDP:2FEPAb]
1af0_A	III.1	3	none	470	[PDP:4I35Aa, PDP:4I35Ab, PDP:4I35Ac, PDP:4I35Ad]
3pp6_A	none	3	none	130	[PDP:4BVMAa]
3sen_A	none	3	none	142	[PDP:4IS7Aa, PDP:4IS7Ab]
3oxu_A	none	3	none	295	[d1qqfa_]
4m9p_A	none	3	none	289	[PDP:4M9PAa, PDP:4M9PAb, PDP:4M9PAc]
3zhe_B	none	3	none	390	[PDP:3ZHEBa, PDP:3ZHEBb, PDP:3ZHEBc]
2m3x_A	none	3	none	147	[PDP:2M3XAa, PDP:2M3XAb]
2d4e_A	none	3	none	513	[d1o04a_]
3u75_A	none	3	none	512	[PDP:3KF3Aa, PDP:3KF3Ab]
